Cód. Artículo;Descripción;Desc. Adicional;Sinónimo;Código de Barras;Precio;Lista de precios;Fecha de última modificación;Art. carpeta nivel 1
31811;PLAFON TECHO BALL 12-G9 12X60W;COBRE;PT907012;;190.312,0000;LISTA 1;16/1/2024;CANDIL
27815;LAMP. LED GU10 12W AR111 6500K;DIMERIZABLE;LGU-1212-DIM-65;7790680019074;4.578,0000;LISTA 1;6/1/2024;CANDIL LAMPARAS
27947;LAMP.FILAMEN LED DORADA 3W C35;LE14-FVSC3503-20;LE14-FVSC3503-2;7790680023866;2.889,0000;LISTA 1;6/1/2024;CANDIL LAMPARAS
27948;LAMP.FILAMEN LED DORADA 5W A60;LE27-FVSA6005-20;LE27-FVSA6005-2;7790680023781;4.622,0000;LISTA 1;6/1/2024;CANDIL LAMPARAS
27949;LAMP.FILAMEN LED DORADA 5W G80;LE27-FVSG8005-20;LE27-FVSG8005-2;7790680023804;6.268,0000;LISTA 1;6/1/2024;CANDIL LAMPARAS
27950;LAMP.FILAMEN LED DORADA 5W G95;LE27-FVSG9505-20;LE27-FVSG9505-2;7790680023811;6.699,0000;LISTA 1;6/1/2024;CANDIL LAMPARAS
27951;LAMP.FILAMEN LED DORADA 5W T65;LE27-FVST6505-20;LE27-FVST6505-2;7790680023859;15.043,0000;LISTA 1;6/1/2024;CANDIL LAMPARAS
28522;LAMPARA LED GU10 4W 220V 6500K;;LGU-1004-65;7790680016769;1.298,0000;LISTA 1;6/1/2024;CANDIL LAMPARAS
28523;LAMP. LED GU10 7W DIFUSA 6500K;;LGU-1807-65;7790680016783;1.109,0000;LISTA 1;6/1/2024;CANDIL LAMPARAS
28524;LAMP. LED GU10 7W 6500K;FOCALIZADA;LGU-9007-65;7790680016721;1.275,0000;LISTA 1;6/1/2024;CANDIL LAMPARAS
28525;LAMP. LED GU10 7W DIFUSA 6500K;DIMERIZABLE;LGU-1807-DIM-65;7790680016806;1.969,0000;LISTA 1;6/1/2024;CANDIL LAMPARAS
28526;LAMP. LED GU10 12W AR111 3000K;DIMERIZABLE;LGU-1212-DIM-30;7790680019067;4.578,0000;LISTA 1;6/1/2024;CANDIL LAMPARAS
28527;LAMP. LED GU10 4.5W 6500K;;LGU-8004-65;7790680016660;983,0000;LISTA 1;6/1/2024;CANDIL LAMPARAS
28528;LAMP. LED GU10 7W 6500K;;LGU-8007-65;7790680016684;1.180,0000;LISTA 1;6/1/2024;CANDIL LAMPARAS
28529;LAMP. LED VELA E/27 8W 6500K;;LE27-VE2808-65;7790680019531;1.640,0000;LISTA 1;6/1/2024;CANDIL LAMPARAS
28531;LAMP. LED GU10 7W DIFUSA 4000K;;LGU-1807-40;7790680024092;1.109,0000;LISTA 1;6/1/2024;CANDIL LAMPARAS
28582;LAMP. LED GU10 12W AR111 4000K;;LGU-1212L-40;7790680026669;3.777,0000;LISTA 1;6/1/2024;CANDIL LAMPARAS
28773;LAMP. LED GU10 7W 4000K;;LGU-8007-40;7790680024108;1.180,0000;LISTA 1;6/1/2024;CANDIL LAMPARAS
28776;LAMP. LED GU10 15W AR111 6500K;SILVER;LGU-1215-30 SV;7790680021565;4.743,0000;LISTA 1;6/1/2024;CANDIL LAMPARAS
28952;LAMP. LED PERFUME E/14 1.5W;3000K;LE14-8001-30;7790680017094;1.575,0000;LISTA 1;6/1/2024;CANDIL LAMPARAS
28975;LAMP. LED AR111 PORF 12W DIMER;LGU-ARPRO2412-DIM-30;LGU-ARPRO2412-D;7790680024146;10.498,0000;LISTA 1;6/1/2024;CANDIL LAMPARAS
29097;LAMP. LED G9 3W ULTRA COMPACTA;3000K;LG9-4503-30;7790680025846;4.449,0000;LISTA 1;28/11/2023;CANDIL LAMPARAS
29098;LAMP. LED G9 5W ;3000K;LG9-7505L-30;7790680025990;1.837,0000;LISTA 1;6/1/2024;CANDIL LAMPARAS
29099;LAMP. LED G9 5W;6500K;LG9-7505L-65;7790680026003;1.837,0000;LISTA 1;6/1/2024;CANDIL LAMPARAS
29509;LAMP. LED AR111 PROF 15W ;LGU-ARPRO2415-30;LGU-ARPRO2415-3;7790680024122;7.873,0000;LISTA 1;6/1/2024;CANDIL LAMPARAS
30246;LAMP. LED VELITA E14 5W 3000K;;LE14-VE1605-30;7790680016974;983,0000;LISTA 1;6/1/2024;CANDIL LAMPARAS
30247;LAMP. LED VELITA E14 5W 6500K;;LE14-VE1605-65;7790680016981;983,0000;LISTA 1;6/1/2024;CANDIL LAMPARAS
15180;PLAFON CUAD 36W BCO 3000K;45X45;PL454536-30 BT;;28.342,0000;LISTA 1;6/1/2024;CANDIL PANEL
15993;LAMP LED. 35W ;E-40 LED;LE40-0040-40;;992,0000;LISTA 1;9/1/2024;CANDIL PANEL
15994;LAMP LED. 27W ;E-40 LED;LE40-0030-40;;826,0000;LISTA 1;9/1/2024;CANDIL PANEL
15995;LAMP LED. 5W ;E-27 LED;LE27-ECA60005-3;7790680020261;247,0000;LISTA 1;9/1/2024;CANDIL PANEL
23422;PANEL LED 30X30 28W 4000K;;LS303028-40/RES;7790680016240;14.839,0000;LISTA 1;9/11/2023;CANDIL PANEL
23680;PANEL LED 22X22 18W 4000K;;LS20018-40;7790680016295;3.771,0000;LISTA 1;9/11/2023;CANDIL PANEL
23681;PANEL LED 17X17 12W 4000K;;LS20012-40;7790680016288;3.211,0000;LISTA 1;9/11/2023;CANDIL PANEL
23682;PANEL LED 12X12CM 8W 3000K;;LS959508-30;7790680016363;2.287,0000;LISTA 1;3/11/2023;CANDIL PANEL
23692;PANEL LED 14.5X14.5 10W 3000K;;LS20010-30;7790680016370;2.694,0000;LISTA 1;3/11/2023;CANDIL PANEL
24114;PANEL LED 9.5X9.5CM 6W 3000K;;LS959506-30;7790680016356;2.126,0000;LISTA 1;3/11/2023;CANDIL PANEL
24820;PANEL LED 60X60 45W 6500K;;LS25606045-65;7790680019371;39.866,0000;LISTA 1;6/1/2024;CANDIL PANEL
24998;KIT FIJACION EXT P/PANEL 60X60;;H SYSTEM 60X60;7790680019470;5.499,0000;LISTA 1;3/11/2023;CANDIL PANEL
25307;PANEL LED 30X60 36W 6500K;;LS25306036-65;7790680019401;23.408,0000;LISTA 1;13/11/2023;CANDIL PANEL
26433;KIT FIJACION EXT P/PANEL 30X60;;H SYSTEM 30X60;7790680019487;3.913,0000;LISTA 1;3/11/2023;CANDIL PANEL
26722;KIT FIJACION P/PANEL 30X30;;H SYSTEM 30X30;7790680021404;3.264,0000;LISTA 1;3/11/2023;CANDIL PANEL
28578;PANEL LED 60X60 45W 4000K;;LS25606045-40;7790680019364;25.856,0000;LISTA 1;29/11/2023;CANDIL PANEL
28579;PANEL LED 60X60 56W 4000K;;LS606056-40/RES;7790680015816;7.898,0000;LISTA 1;25/4/2023;CANDIL PANEL
28774;PANEL LED 30X60 36W 3000K;;LS25306036-30;7790680019388;23.408,0000;LISTA 1;13/11/2023;CANDIL PANEL
29373;PANEL LED 60X60 34W BACK ;;LS370606034-65;;17.465,0000;LISTA 1;3/11/2023;CANDIL PANEL
29493;PANEL LED 60X60 34W BACK LIGHT;;LS370606034-40;;17.465,0000;LISTA 1;3/11/2023;CANDIL PANEL
29768;PANEL LED 34W BACK LIGHT 60X60;;LS290606034-65;;8.649,0000;LISTA 1;25/4/2023;CANDIL PANEL
18342;PROYECTOR ESMERILADO CON E-27;;327/38;;639,0000;LISTA 1;25/4/2023;CANNATA
24664;PROYECTOR NGO PARA AR/111;;327/111NG;;542,0000;LISTA 1;25/4/2023;CANNATA
25716;PROYECTOR NGO TEXTURADO PARA  ;;327/PAR38;;1.056,0000;LISTA 1;25/4/2023;CANNATA
11236;APLIQUE 3 LUCES  BASE RED;;85/3D;;58.091,0000;LISTA 1;21/12/2023;CARILUX
11243;APLIQUE 3 LUCES  BASE RECT ;;81/3;;52.506,0000;LISTA 1;21/12/2023;CARILUX
11244;APLIQUE 1 LUZ  BASE RED ROBLE ;;88/1;;20.428,0000;LISTA 1;21/12/2023;CARILUX
29738;APLIQUE MENSULA VITAGE;;M1;;19.898,0000;LISTA 1;21/12/2023;CARILUX
29739;APLIQUE MENSULA TRATADA ;;M2;;26.726,0000;LISTA 1;21/12/2023;CARILUX
29740;VELADOR WENGUE CON PANT NAT;;1131W;;30.362,0000;LISTA 1;21/12/2023;CARILUX
29741;LAMP. DE PIE PARAISO ;;1151P;;100.073,0000;LISTA 1;21/12/2023;CARILUX
29742;LAMP. DE PIE TRIPODE WENGUE;;1151RU;;78.092,0000;LISTA 1;21/12/2023;CARILUX
30014;LAMP. DE MESA EN PARAISO ;;1131P;;37.110,0000;LISTA 1;21/12/2023;CARILUX
30256;LAMP. DE MESA TRIPODE ;;1141P;;66.349,0000;LISTA 1;21/12/2023;CARILUX
30257;"LAMP. 1181 ""S"" PARAISO ";;1181SP;;29.238,0000;LISTA 1;21/12/2023;CARILUX
30645;VELADOR PALO BLANCO;PANTALLA NATURAL;1134;;20.712,0000;LISTA 1;21/12/2023;CARILUX
31559;VELADOR RODAJA MADERA PARAISO;15CMX7CM;N9;;13.779,0000;LISTA 1;21/12/2023;CARILUX
31560;VELADO NORDICO MADERA PARAISO;ALT.11CM BASE 10X10;N5L;;14.190,0000;LISTA 1;21/12/2023;CARILUX
31640;PANEL REDONDO ROBLE 12W 18.5CM;12W 3000K;12WR;;34.810,0000;LISTA 1;21/12/2023;CARILUX
31641;PANEL CUADRADO ROBLE 18W 3000K;18X18;18X18;;19.794,0000;LISTA 1;21/12/2023;CARILUX
31642;PLAFON REDONDO PARAISO;AR111;AR/111;;20.969,0000;LISTA 1;21/12/2023;CARILUX
11;PINZA DE RETENCION DR-1500;;DR1500;13793;9.549,0000;LISTA 1;31/1/2024;CAVANNA
11957;PORTAF AEREO ENCAP.VERT. DPAV;;DPA-V;;5.577,0000;LISTA 1;31/1/2024;CAVANNA
12134;CONECTOR DENTAD ESTAÑADO 10-95;1.5-10 MD.DCNL-1;TTD061F;;615,0000;LISTA 1;29/9/2023;CAVANNA
12345;HEBILLA ACERO INOXIDABLE 20MM;;ZHE20;;780,0000;LISTA 1;31/1/2024;CAVANNA
12346;PORTAZUNCHO 0.7X20X50MTS;;ZU 720;;203.043,0000;LISTA 1;31/1/2024;CAVANNA
12463;PORTAF AEREO ENCAP.HORIZ. DPA;;DPA;;4.350,0000;LISTA 1;31/1/2024;CAVANNA
12464;CONECTOR DENT EST. 16-95/4-35 ;MOD.DCNL-2;TTD151F;;5.020,0000;LISTA 1;31/1/2024;CAVANNA
12645;FUSIBLE NEOZED 10A A 63A;;IFN10-63;;2.900,0000;LISTA 1;31/1/2024;CAVANNA
12647;PORTAF AEREO ENCAP.HORIZ. DPAD;;DPA-D;;4.127,0000;LISTA 1;31/1/2024;CAVANNA
12840;SEPARADOR DE FASES LAP. ;MOD. DSFP( X  PAR);DSFP 010;;16.733,0000;LISTA 1;31/1/2024;CAVANNA
12910;SECCIONADOR AUTODESCONECT;PORTAF.BS27-100-;BS27-100-8;;115.789,0000;LISTA 1;31/1/2024;CAVANNA
13019;CONECTOR DENTADO ESTAN.PORTAF;MOD. DCPA-E;DCPAEE;;7.251,0000;LISTA 1;31/1/2024;CAVANNA
13386;CONECTOR DENTADO ESTAÑADO ;25-95/25-MOD.DCNL-3;TTD251F;;6.358,0000;LISTA 1;31/1/2024;CAVANNA
13469;FUSIBLE M.T. T.   30A HEF 30;CAVANNA KEARNEY;HEFKR 30;;10.486,0000;LISTA 1;31/1/2024;CAVANNA
13617;SECCIONADOR UNIP NH HASTA 160A;APR160CHIK AP.CHISPA;APR160CHIK;;30.121,0000;LISTA 1;31/1/2024;CAVANNA
13622;PINZA DE ACOMETIDA P/HAZ;DCR HORQUILLA PLAST.;DCR;;4.016,0000;LISTA 1;31/1/2024;CAVANNA
13828;HERRAMIENTA ZUNCHADORA MOD.ZUN;;ZUN-A;;870.187,0000;LISTA 1;31/1/2024;CAVANNA
13891;SECC. UNIPOLAR NH HASTA 630 I;;APR630I;;80.325,0000;LISTA 1;31/1/2024;CAVANNA
15845;TENSOR MECANICO DT;;DT;;60.243,0000;LISTA 1;31/1/2024;CAVANNA
19;MENSULA SUSPENSION CON OJAL ;ESPIRALADO DM;13178;;8.957,0000;LISTA 1;31/1/2024;CAVANNA
21128;PINZA DE SUSPENSION 50/95 ;DSP-500;DSP500;;4.740,0000;LISTA 1;31/1/2024;CAVANNA
25353;DERIVADOR P/CONDUCTOR CONCENTR;;DCC;;880,0000;LISTA 1;31/1/2024;CAVANNA
25397;SOPORTE UNIP PARA FIJ A CRUC. ;;HAPRN630;;2.677,0000;LISTA 1;31/1/2024;CAVANNA
25610;GUANTES CATU MOD. DEXTERI ;CLASE 0 TALLE 9;27-1009-0;;49.867,0000;LISTA 1;31/1/2024;CAVANNA
25611;GUANTES CATU MOD.DEXTERI ;CLASE 0 T.10 7500V;27-1010-0;;115.789,0000;LISTA 1;31/1/2024;CAVANNA
25950;SECCIONADOR AUTODESCONECTADOR ;;BS15-100.-10;;98.889,0000;LISTA 1;31/1/2024;CAVANNA
26011;GUANTES CATU MODELO PREMIUN ;;27-1210-2;;143.680,0000;LISTA 1;31/1/2024;CAVANNA
27614;PINZA DE ACOMETIDA HASTA 22MM ;DCRX HORQUILLA ACERO;DCRX;;4.238,0000;LISTA 1;31/1/2024;CAVANNA
27692;GUANTES CATU .DEXTERI CLASE 1 ;T.10 1000V BIC 1000V;27-1010-1;;139.452,0000;LISTA 1;31/1/2024;CAVANNA
27873;SECCIONADOR UNIP.NH HASTA 160A;;APR160HI;;30.121,0000;LISTA 1;31/1/2024;CAVANNA
28928;CAMARA APAGACHISPAS PARA SECC.;;HAPRCA630;;5.020,0000;LISTA 1;31/1/2024;CAVANNA
814;FUSIBLE M.T. T.   15A HEF 15;CAVANNA KEARNEY;HEFKR 15;;8.032,0000;LISTA 1;31/1/2024;CAVANNA
818;FUSIBLE M.T. T. KEARNEY  1A;CAVANNA - HEF 1;HEFKR 1;;8.032,0000;LISTA 1;31/1/2024;CAVANNA
819;FUSIBLE M.T. T.   25A HEF 25;CAVANNA KEARNEY;HEFKR 25;;10.486,0000;LISTA 1;31/1/2024;CAVANNA
826;FUSIBLE M.T. T.   12A HEF 12;CAVANNA KEARNEY;HEFKR 12;;8.032,0000;LISTA 1;31/1/2024;CAVANNA
827;FUSIBLE M.T. T. KEARNEY  2A;CAVANNA - HEF 2;HEFKR 2;15052140;8.032,0000;LISTA 1;31/1/2024;CAVANNA
828;FUSIBLE M.T. T. K 7A HEFKR 7;;HEFKR7;;6.426,0000;LISTA 1;31/1/2024;CAVANNA
832;FUSIBLE M.T. T. KEARNEY  5A;CAVANNA - HEF 5;HEFKR 5;;8.032,0000;LISTA 1;31/1/2024;CAVANNA
89;SOPORTE UNIP P/FIJACION  S160;;HAPRS160;11959;3.090,0000;LISTA 1;31/1/2024;CAVANNA
21469;CABLE PREENSAM.ALUM.2X16MM ;2X16MM;;;1.896,0000;LISTA 1;31/1/2024;CEDAM ALUMINIO
21470;CABLE PREENSAM.ALUM.2X25MM ;2X25MM;;;2.755,0000;LISTA 1;31/1/2024;CEDAM ALUMINIO
21471;CABLE PREENSAM.ALUM.3X25+50MM ;3X25+50MM;;;5.811,0000;LISTA 1;31/1/2024;CEDAM ALUMINIO
23839;CABLE PREENSAMBLADO 4X16;4X16MM;;;3.625,0000;LISTA 1;31/1/2024;CEDAM ALUMINIO
24775;CABLE PREENSAM.ALUM.3X35+50MM ;3X35+50MM;;;5.867,0000;LISTA 1;31/1/2024;CEDAM ALUMINIO
24981;CABLE PREENSAM.ALUM.3X50+50MM;3X50+50MM;;;8.812,0000;LISTA 1;31/1/2024;CEDAM ALUMINIO
24984;CABLE PREENSAMBLADO ALUM ;3X95+50+25;;;14.982,0000;LISTA 1;31/1/2024;CEDAM ALUMINIO
25196;CABLE PREENSAMBLADO ALUM ;3X25+50+25;;;6.961,0000;LISTA 1;31/1/2024;CEDAM ALUMINIO
25687;CABLE PREENSAMBLADO ALUM ;3X35+50+25;;;8.211,0000;LISTA 1;31/1/2024;CEDAM ALUMINIO
26224;CABLE AISLADO DE ALUM 1X16MM;1X16MM;;;1.071,0000;LISTA 1;31/1/2024;CEDAM ALUMINIO
26519;CABLE PREENSAMBL AL3X50+50+25;3X50+50+25;;;9.482,0000;LISTA 1;31/1/2024;CEDAM ALUMINIO
26604;CABLE PREENSAM.ALUM. 3X70+50;3X70+50;;;10.899,0000;LISTA 1;31/1/2024;CEDAM ALUMINIO
27385;CABLE PREENSAM.ALUM.3X95+50 ;3X95+50;;;13.866,0000;LISTA 1;31/1/2024;CEDAM ALUMINIO
21463;CABLE PREENSAMBLADO 2X4MM ;COBRE;;;2.465,0000;LISTA 1;31/1/2024;CEDAM COBRE
21464;CABLE PREENSAMBLADO 2X6MM;COBRE;;;4.328,0000;LISTA 1;31/1/2024;CEDAM COBRE
21465;CABLE PREENSAMBLADO 2X10MM ;COBRE;;;5.488,0000;LISTA 1;31/1/2024;CEDAM COBRE
21466;CABLE PREENSAMBLADO 4X4MM ;COBRE;;;4.830,0000;LISTA 1;31/1/2024;CEDAM COBRE
21467;CABLE PREENSAMBLADO 4X6MM ;COBRE;;;6.882,0000;LISTA 1;31/1/2024;CEDAM COBRE
21468;CABLE PREENSAMBLADO 4X10 COBRE;;;;10.966,0000;LISTA 1;31/1/2024;CEDAM COBRE
22257;CABLE PREENSAMBLADO 2X16MM ;COBRE;;;8.657,0000;LISTA 1;31/1/2024;CEDAM COBRE
22263;CABLE SUBTERRANEO 7X1.5 COBRE;;;;3.804,0000;LISTA 1;31/1/2024;CEDAM COBRE
22513;CABLE TIPO TALLER CU/PVC ;12X1.5MM;;;6.414,0000;LISTA 1;31/1/2024;CEDAM COBRE
24819;CABLE SUBTERRANEO 5X4MM COBRE;;;;6.414,0000;LISTA 1;31/1/2024;CEDAM COBRE
25197;CABLE SUB. 1X50MM CEDASEG+FLEX;;;;13.018,0000;LISTA 1;31/1/2024;CEDAM COBRE
25695;CABLE DESNUDO 25 MM COBRE;;DESNUDO 25MM.;;6.325,0000;LISTA 1;31/1/2024;CEDAM COBRE
25732;CABLE SUB. 1X240MM COBRE;;ST2 1X240;;63.221,0000;LISTA 1;31/1/2024;CEDAM COBRE
26008;CABLE SUB. 5X2.5 + COMANDO;;;;4.272,0000;LISTA 1;31/1/2024;CEDAM COBRE
26031;CABLE SUBTERRANEO 5X6MM COBRE;;;;8.925,0000;LISTA 1;31/1/2024;CEDAM COBRE
26090;CABLE DESNUDO 16 MM COBRE;;DESNUDO 16MM;;4.004,0000;LISTA 1;31/1/2024;CEDAM COBRE
26130;CABLE SUB. 1X6MM CEDASEG+FLEX;;;;1.817,0000;LISTA 1;31/1/2024;CEDAM COBRE
26131;CABLE SUB.1X150MM CEDASEG+FLEX;;;;39.046,0000;LISTA 1;31/1/2024;CEDAM COBRE
26132;CABLE SUB.1X120MM CEDASEG+FLEX;;;;31.326,0000;LISTA 1;31/1/2024;CEDAM COBRE
26242;CABLE SUB. 3X35+16;;ST2 3X35+16;;32.542,0000;LISTA 1;31/1/2024;CEDAM COBRE
26291;CABLE DESN 35 MM COBRE CEDAM;;;;8.835,0000;LISTA 1;31/1/2024;CEDAM COBRE
26312;CABLE T/T. CU/PVC 4X10MM;;;;10.966,0000;LISTA 1;31/1/2024;CEDAM COBRE
26313;CABLE CEDASEG SUB. DE CU ;;;;46.487,0000;LISTA 1;31/1/2024;CEDAM COBRE
26579;CABLE SUB.1X185MM CEDASEG+FLEX;;;;48.339,0000;LISTA 1;31/1/2024;CEDAM COBRE
26580;CABLE CEDASEG+COMANDO SUB. ;;;;12.639,0000;LISTA 1;31/1/2024;CEDAM COBRE
26581;CABLE CEDASEG+COMANDO SUB. ;;;;6.604,0000;LISTA 1;31/1/2024;CEDAM COBRE
26596;CABLE SUB. 1X95MM CEDASEG+FLEX;;;;25.101,0000;LISTA 1;31/1/2024;CEDAM COBRE
26775;CEDASEG SECTORIAL SUBT. ;;ST2 3X95+50;;85.534,0000;LISTA 1;31/1/2024;CEDAM COBRE
26876;CABLE TIPO TALLER CU/PVC 2X6MM;;;;3.536,0000;LISTA 1;31/1/2024;CEDAM COBRE
26892;CABLE TIPO TALLER CU/PVC 3X6MM;;;;4.830,0000;LISTA 1;31/1/2024;CEDAM COBRE
26893;CABLE TIPO TALLER CU/PVC 4X1MM;;;;1.360,0000;LISTA 1;31/1/2024;CEDAM COBRE
26894;CABLE T/T. CU/PVC 4X2.5MM;;;;2.788,0000;LISTA 1;31/1/2024;CEDAM COBRE
26895;CABLE DESNUDO 10 MM COBRE;;;;2.509,0000;LISTA 1;31/1/2024;CEDAM COBRE
26972;CABLE CEDASEG+COMANDO SUB. ;;;;5.666,0000;LISTA 1;31/1/2024;CEDAM COBRE
27208;CABLE DESNUDO 6. MM COBRE;;;;1.483,0000;LISTA 1;31/1/2024;CEDAM COBRE
27655;CABLE SUB. CU/XLPE 2X4MM;;;;2.888,0000;LISTA 1;31/1/2024;CEDAM COBRE
28033;CABLE DESN 50 MM COBRE CEDAM;;;;12.639,0000;LISTA 1;31/1/2024;CEDAM COBRE
28957;CABLE PREENSAMBLADO COBRE 4X16;;;;17.202,0000;LISTA 1;31/1/2024;CEDAM COBRE
12302;"COLUMNA 2 1/4"" LISA 2MTRS";C/GLOBO ANTIVAN 25CM;2100;;52.052,0000;LISTA 1;30/1/2024;CENTILUX
12303;"COLUMNA 3"" RANURADA 2MTR  ";;3001;;111.406,0000;LISTA 1;30/1/2024;CENTILUX
12304;"COLUMNA 4"" C/2 GLOBOS COLONIAL";LARGO 3 MTRS;2053;;266.087,0000;LISTA 1;30/1/2024;CENTILUX
12305;"FAROL DE FUND C/COLUMNA 4"" ";;1001;;114.272,0000;LISTA 1;30/1/2024;CENTILUX
13619;BASE METALICA P/GLOBO 35/45CM;BASE METALICA;AC-26;;10.295,0000;LISTA 1;30/1/2024;CENTILUX
13655;LUMINARIA P/BRAZO S/PORTA-;EQ.250W FUND.;AC52-400;;5.836,0000;LISTA 1;25/4/2023;CENTILUX
13656;BRAZO 0.50MT DE VUELO 38MM;;901;;8.115,0000;LISTA 1;30/1/2024;CENTILUX
13657;BRAZO 0.80MT DE VUELO 38MM;;902;;11.907,0000;LISTA 1;30/1/2024;CENTILUX
13658;BRAZO 1.20MT DE VUELO 38MM;;903;;12.929,0000;LISTA 1;30/1/2024;CENTILUX
14243;BRAZO 1.20MT DE VUELO 50MM;;905;;19.401,0000;LISTA 1;30/1/2024;CENTILUX
14246;BRAZO 0.50MT DE VUELO 38MM ECO;;900;;7.569,0000;LISTA 1;30/1/2024;CENTILUX
14647;GLOBO 45CMTS POLIETILENO;C/CUELLO C/U.V.;AC45C;;13.083,0000;LISTA 1;30/1/2024;CENTILUX
17161;LUMINARIA  DE CHAPA P/BRAZO;;AC55;;16.366,0000;LISTA 1;30/1/2024;CENTILUX
17257;GLOBO 35CMTS POLIETILENO;C/CUELLO C/U.V.;AC-35C;;8.880,0000;LISTA 1;30/1/2024;CENTILUX
22143;GLOBO 25CMTS POLIETILENO ;C/CUELLO C/U.V.;AC-25C;;5.860,0000;LISTA 1;30/1/2024;CENTILUX
25628;TULIPA POLICARB SIMIL AC55;;924;;5.439,0000;LISTA 1;30/1/2024;CENTILUX
27756;TULIPA POLICARB SIMIL AT70-STD;;922;;10.440,0000;LISTA 1;30/1/2024;CENTILUX
31370;PANTALLA ALUMINIO 40CM;400AL;400AL;;10.656,0000;LISTA 1;30/1/2024;CENTILUX
31371;PANTALLA POLIC.420MM ; C/GANCHO Y PORT.E27;P420E;;32.383,0000;LISTA 1;30/1/2024;CENTILUX
31372;PANTALLA POLIC.420MM ; C/GANCHO Y POR.E/40;P420G;;34.333,0000;LISTA 1;30/1/2024;CENTILUX
31373;PANTALLA POLIC.560MM ; C/GANCHO Y PORT.E40;P560G;;44.048,0000;LISTA 1;30/1/2024;CENTILUX
31668;LUMINARIA  DE CALLE AC52 LED ;80W;AC52LED80;;107.814,0000;LISTA 1;31/1/2024;CENTILUX
31669;LUMINARIA  DE CALLE AC52 LED ;150W;AC52LED150;;140.244,0000;LISTA 1;31/1/2024;CENTILUX
30412;CAJA DE PASO  CP20 70X70X60;ESTANCAS;CP20;;402,0000;LISTA 1;25/4/2023;CH
30413;CAJA DE PASO  CP30 100X100X50;ESTANCAS;CP30;;436,0000;LISTA 1;25/4/2023;CH
30414;CAJA DE PASO  CP40 100X100X80;ESTANCAS;CP40;;513,0000;LISTA 1;25/4/2023;CH
30415;CAJA DE PASO  CP50 100X150X80;ESTANCAS;CP50;;637,0000;LISTA 1;25/4/2023;CH
30416;CAJA DE PASO  CP60 150X200X80;ESTANCAS;CP60;;798,0000;LISTA 1;25/4/2023;CH
30417;CAJA DE PASO  CP70 200X200X80;ESTANCAS;CP70;;1.010,0000;LISTA 1;25/4/2023;CH
30418;CAJA DE PASO  CP80 150X270X80;ESTANCAS;CP80;;1.229,0000;LISTA 1;25/4/2023;CH
30419;CAJA DE PASO  CP90 270X270X80;ESTANCAS;CP90;;2.177,0000;LISTA 1;25/4/2023;CH
30420;CAJA DE SOBREP. CP50T 4 MOD;;CP50T;;983,0000;LISTA 1;25/4/2023;CH
30421;CAJA DE SOBREP. CP50T 12 MOD;;CP80T;;1.898,0000;LISTA 1;25/4/2023;CH
30422;CAJA DE SOBREP. CP50T 24 MOD;;CP90T;;3.337,0000;LISTA 1;25/4/2023;CH
30670;CAJA DE PASO  CP70 200X200X110;ESTANCAS;CP75;;1.298,0000;LISTA 1;25/4/2023;CH
31546;COLGANTE ELITA F40 FAT NEGRO;;ELITA FAT 40;;65.625,0000;LISTA 1;20/12/2023;CHIMBA
31547;COLGANTE ELITA LONG 23;;ELITA LONG 23;;32.812,0000;LISTA 1;20/12/2023;CHIMBA
31548;COLGANTE ELITA F30 FAT;;ELITA FAT 30;;45.937,0000;LISTA 1;20/12/2023;CHIMBA
31549;COLGANTE TITA 40 FAT NEGRO;;TITA 40;;59.062,0000;LISTA 1;20/12/2023;CHIMBA
20010*;CONMUTADOR MOTORIZADO;4 X 800A;NH40-800/4SZ;;5.091.064,0000;LISTA 1;31/1/2024;CHINT
20999;RELÉ AUXILIAR 5AMP 220V;;NXJ-A220V-2Z1D;;8.846,0000;LISTA 1;31/1/2024;CHINT
21000;BASE RELÉ AUX. RS-NXJ;;RS-NXJ-2Z/C1;;5.890,0000;LISTA 1;31/1/2024;CHINT
31320;NBX INTERRUP TERMO 1X6A 6kA ;;NXB-63 1P C6 6K;;2.822,0000;LISTA 1;31/1/2024;CHINT
31321;NBX INTERRUP TERMO 1X10A 6kA;;NXB-63 1P C10 6;;2.654,0000;LISTA 1;31/1/2024;CHINT
31322;NBX INTERRUP TERMO 1X16A 6kA;;NXB-63 1P C16 6;;2.654,0000;LISTA 1;31/1/2024;CHINT
31323;NBX INTERRUP TERMO 1X20A 6kA;;NXB-63 1P C20 6;;2.654,0000;LISTA 1;31/1/2024;CHINT
31324;NBX INTERRUP TERMO 1X25A 6kA;;NXB-63 1P C25 6;;2.654,0000;LISTA 1;31/1/2024;CHINT
31325;NBX INTERRUP TERMO 1X32A 6kA;;NXB-63 1P C32 6;;2.654,0000;LISTA 1;31/1/2024;CHINT
31326;NBX INTERRUP TERMO 2X6A 6kA;;NXB-63 2P C6 6k;;5.533,0000;LISTA 1;31/1/2024;CHINT
31327;NBX INTERRUP TERMO 2X10A 6kA;;NXB-63 2P C10 6;;4.941,0000;LISTA 1;31/1/2024;CHINT
31328;NBX INTERRUP TERMO 2X16A 6kA;;NXB-63 2P C16 6;;4.941,0000;LISTA 1;31/1/2024;CHINT
31329;NBX INTERRUP TERMO 2X20A 6kA;;NXB-63 2P C20 6;;4.941,0000;LISTA 1;31/1/2024;CHINT
